QB, NFL
RB, NFL
WR, NFL
TE, NFL
DEF/ST, NFL
K, NFL
PG, NBA
SG, NBA
SF, NBA
PF, NBA
C, NBA
P, MLB
C, MLB
1B, MLB
2B, MLB
3B, MLB
SS, MLB
LF, MLB
CF, MLB
RF, MLB
